instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,d_temp,d_atemp,d_hum,d_windspeed,casual,registered,cnt
27,27-01-2011,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,1.165,-1.4998,68.75,7.627079,15,416,431
28,28-01-2011,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,1.563466,-1.261078,79.3043,8.2611,38,1129,1167
29,29-01-2011,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,1.236534,-1.999684,65.1739,9.739455,123,975,1098
30,30-01-2011,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,2.176534,0.521252,72.2174,4.9568342,140,956,1096
31,31-01-2011,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,0.499151,-3.7075,60.375,12.541864,42,1459,1501
32,01-02-2011,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,1.032178,-0.52102,82.9565,3.565271,47,1313,1360
33,02-02-2011,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,4.22,0.791522,77.5417,17.708636,72,1454,1526
34,03-02-2011,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,0.786979,-4.260052,43.7826,18.609384,61,1489,1550
35,04-02-2011,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,1.931288,-0.913258,58.5217,8.565213,88,1620,1708
36,05-02-2011,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,2.966651,0.041828,92.9167,10.792293,100,905,1005
37,06-02-2011,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,5.434151,3.250286,56.8333,9.5006,354,1269,1623
38,07-02-2011,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,4.768349,4.041428,73.8333,3.0423561,120,1592,1712
39,08-02-2011,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,2.379151,-2.915764,53.7917,24.25065,64,1466,1530
40,09-02-2011,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,-1.665199,-6.477322,49.4783,12.652213,53,1552,1605
41,10-02-2011,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,-1.215644,-6.129832,43.7391,14.869645,47,1491,1538
42,11-02-2011,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,0.887277,-1.908406,50.6364,7.27285,149,1597,1746
43,12-02-2011,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,2.4575,-0.625036,54.4167,13.625589,288,1184,1472
44,13-02-2011,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,6.876534,5.391458,45.7391,17.479161,397,1192,1589
45,14-02-2011,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,11.505,10.2911,37.5833,27.999836,208,1705,1913
46,15-02-2011,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,4.506089,0.782084,31.4348,19.522058,140,1675,1815
47,16-02-2011,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,6.958267,4.8692,42.3478,16.869997,218,1897,2115
48,17-02-2011,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,12.484151,12.291428,50.5,15.416968,259,2216,2475
49,18-02-2011,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,16.518349,17.790878,51.6667,17.749975,579,2348,2927
50,19-02-2011,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,10.760849,9.832664,18.7917,34.000021,532,1103,1635
51,20-02-2011,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,5.405199,2.30378,40.7826,14.956745,639,1173,1812
52,21-02-2011,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,6.256651,2.74895,60.5,20.625682,195,912,1107
53,22-02-2011,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,0.564434,-3.721822,57.7778,13.110761,74,1376,1450
54,23-02-2011,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,2.421733,0.217322,42.3043,6.305571,139,1778,1917
55,24-02-2011,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,5.895644,3.086606,69.7391,16.783232,100,1707,1807
56,25-02-2011,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,9.124356,7.130426,71.2174,23.218113,120,1341,1461
57,26-02-2011,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,5.2775,2.624672,53.7917,12.500257,424,1545,1969
58,27-02-2011,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,8.143466,7.173194,68,8.391616,694,1708,2402
59,28-02-2011,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,11.141831,10.407788,87.6364,19.408962,81,1365,1446
60,01-03-2011,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,4.533349,1.416014,53.5,14.500475,137,1714,1851
61,02-03-2011,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,7.745,5.124686,44.9583,20.624811,231,1903,2134
62,03-03-2011,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1.321651,-2.791222,31.8333,15.125518,123,1562,1685
63,04-03-2011,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,4.298349,0.874814,61.0417,13.624182,214,1730,1944
64,05-03-2011,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,10.055849,8.999414,78.9167,16.875357,640,1437,2077
65,06-03-2011,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,9.696534,8.172632,94.8261,23.000229,114,491,605
66,07-03-2011,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,4.301733,-0.261574,55.1304,22.870584,244,1628,1872
67,08-03-2011,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,5.7475,3.9584,42.0833,8.08355,316,1817,2133
68,09-03-2011,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,5.904151,2.916128,77.5417,14.75005,191,1700,1891
69,10-03-2011,1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,10.287277,9.454088,0,17.545759,46,577,623
70,11-03-2011,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,6.876534,4.13,64.9565,15.60899,247,1730,1977
71,12-03-2011,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,7.470849,5.4995,59.4583,14.791925,724,1408,2132
72,13-03-2011,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,10.064356,9.086006,52.7391,18.130468,982,1435,2417
73,14-03-2011,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,7.285199,5.912,49.6957,9.174042,359,1687,2046
74,15-03-2011,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,6.917377,4.999748,65.5652,12.348703,289,1767,2056
75,16-03-2011,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,9.165199,8.21738,77.6522,13.608839,321,1871,2192
76,17-03-2011,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,11.505,11.081978,60.2917,14.041793,424,2320,2744
77,18-03-2011,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,17.38,18.782594,52.5217,15.478139,884,2355,3239
78,19-03-2011,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,14.2075,14.79065,37.9167,24.667189,1424,1693,3117
79,20-03-2011,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,7.6275,5.4995,47.375,13.917307,1047,1424,2471
80,21-03-2011,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,12.230445,11.04251,73.7391,19.348461,401,1676,2077
81,22-03-2011,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,12.758349,13.082372,62.4583,15.12525,460,2243,2703
82,23-03-2011,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,8.306979,6.303974,83.9565,15.695487,203,1918,2121
83,24-03-2011,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,5.395,1.874978,80.5833,16.333729,166,1699,1865
84,25-03-2011,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,4.415849,0.916592,49.5,15.458575,300,1910,2210
85,26-03-2011,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,4.494151,0.999686,39.4167,14.041257,981,1515,2496
86,27-03-2011,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,3.893021,0.522374,49.3913,12.3481,472,1221,1693
87,28-03-2011,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,4.424356,0.999884,30.2174,14.217668,222,1806,2028
88,29-03-2011,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,6.2175,3.331928,31.4167,15.208732,317,2108,2425
89,30-03-2011,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,6.1,3.6251,64.6667,11.583496,168,1368,1536
90,31-03-2011,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,4.611651,0.99995,91.8333,14.582282,179,1506,1685
91,01-04-2011,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,6.1,2.707964,68.625,17.333436,307,1920,2227
92,02-04-2011,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,6.805,4.832042,65.375,13.208782,898,1354,2252
93,03-04-2011,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,9.781651,8.998622,48,12.208271,1651,1598,3249
94,04-04-2011,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,18.946651,19.833314,42.625,25.833257,734,2381,3115
95,05-04-2011,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,11.465849,10.2911,64.2083,26.000489,167,1628,1795
96,06-04-2011,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,10.369151,9.582128,47.0833,17.625221,413,2395,2808
97,07-04-2011,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,12.5625,12.623936,60.2917,10.874904,571,2570,3141
98,08-04-2011,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,7.784151,5.415614,83.625,15.208464,172,1299,1471
99,09-04-2011,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,8.0975,6.540914,87.75,8.916561,879,1576,2455
100,10-04-2011,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,12.053349,12.164642,85.75,9.833389,1188,1707,2895
101,11-04-2011,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,19.995644,21.304322,71.6956,21.739758,855,2493,3348
102,12-04-2011,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,15.6175,16.541564,73.9167,18.416893,257,1777,2034
103,13-04-2011,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,11.3875,11.540678,81.9167,16.791339,209,1953,2162
104,14-04-2011,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,13.9725,14.540972,54.0417,7.4169,529,2738,3267
105,15-04-2011,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,12.993349,13.166258,67.125,15.167125,642,2484,3126
106,16-04-2011,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,12.249151,12.082472,88.8333,22.834136,121,674,795
107,17-04-2011,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,13.463349,13.415936,47.9583,20.334232,1558,2186,3744
108,18-04-2011,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,16.0875,17.207636,54.25,10.958989,669,2760,3429
109,19-04-2011,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,15.774151,16.291028,66.5833,10.584057,409,2795,3204
110,20-04-2011,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,19.965,21.249872,61.4167,16.208975,613,3331,3944
111,21-04-2011,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,13.580849,13.956872,40.7083,21.792286,745,3444,4189
112,22-04-2011,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,7.823349,5.248964,72.9583,14.707907,177,1506,1683
113,23-04-2011,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,13.62,13.707986,88.7917,15.458575,1462,2574,4036
114,24-04-2011,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,19.338349,20.416358,81.0833,12.875725,1710,2481,4191
115,25-04-2011,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,20.513349,21.917,77.6667,12.417311,773,3300,4073
116,26-04-2011,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,21.688349,23.209478,72.9167,21.8755,678,3722,4400
117,27-04-2011,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,21.14,21.959372,83.5417,20.9174,547,3325,3872
118,28-04-2011,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,21.0225,22.209314,70.0833,21.500836,569,3489,4058
119,29-04-2011,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,15.97,16.832558,45.7083,16.084221,878,3717,4595
120,30-04-2011,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,14.2075,14.625386,50.3333,15.750025,1965,3347,5312
121,01-05-2011,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,13.228349,13.581464,76.2083,7.125718,1138,2213,3351
122,02-05-2011,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,17.810849,19.166978,73,12.291418,847,3554,4401
123,03-05-2011,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,20.983349,22.417214,69.7083,22.958689,603,3848,4451
124,04-05-2011,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,11.465849,10.7069,73.7083,22.042732,255,2378,2633
125,05-05-2011,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,13.580849,13.166522,44.4167,19.791264,614,3819,4433
126,06-05-2011,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,14.520849,15.291722,59,15.292482,894,3714,4608
127,07-05-2011,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,16.44,17.832986,54.125,10.75015,1612,3102,4714
128,08-05-2011,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,16.831651,18.249578,63.1667,5.0007125,1401,2932,4333
129,09-05-2011,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,17.0275,18.666236,58.875,11.792,664,3698,4362
130,10-05-2011,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,17.0275,18.499586,48.9167,7.749957,694,4109,4803
131,11-05-2011,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,17.4975,18.8744,63.2917,8.083014,550,3632,4182
132,12-05-2011,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,17.145,18.541958,74.75,12.707689,695,4169,4864
133,13-05-2011,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,16.0875,16.6238,86.3333,12.041575,692,3413,4105
134,14-05-2011,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,16.479151,17.041514,92.25,9.04165,902,2507,3409
135,15-05-2011,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,18.4375,19.376,86.7083,10.249593,1582,2971,4553
136,16-05-2011,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,19.1425,20.333792,78.7917,8.500357,773,3185,3958
137,17-05-2011,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,18.398349,19.542914,83.7917,18.582718,678,3445,4123
138,18-05-2011,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,17.85,18.792428,87,13.499964,536,3319,3855
139,19-05-2011,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,16.949151,17.708972,82.9583,7.250271,735,3840,4575
140,20-05-2011,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,17.223349,18.916772,71.9583,8.375871,909,4008,4917
141,21-05-2011,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,20.3175,21.75035,62.6667,8.08355,2258,3547,5805
142,22-05-2011,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,20.395849,21.917,74.9583,9.916536,1576,3084,4660
143,23-05-2011,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,21.688349,22.959536,81,15.667414,836,3438,4274
144,24-05-2011,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,23.02,23.917658,74.0833,13.875164,659,3833,4492
145,25-05-2011,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,23.059151,24.625772,69.625,10.333611,740,4238,4978
146,26-05-2011,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,25.291651,27.209408,67.75,13.376014,758,3919,4677
147,27-05-2011,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,24.038349,26.042528,65.375,16.125493,871,3808,4679
148,28-05-2011,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,22.824151,24.417014,72.9583,15.416164,2001,2757,4758
149,29-05-2011,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,23.3725,24.6263,81.875,14.333846,2355,2433,4788
150,30-05-2011,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,26.466651,28.292072,68.5,8.792075,1549,2549,4098
151,31-05-2011,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,28.425,31.875278,63.6667,7.459043,673,3309,3982
152,01-06-2011,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,27.915849,31.583822,67.7083,13.875164,513,3461,3974
153,02-06-2011,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,25.605,26.500172,30.5,19.583229,736,4232,4968
154,03-06-2011,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,21.14,22.750778,35.4167,16.959107,898,4414,5312
155,04-06-2011,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,21.845,23.249936,45.625,8.250514,1869,3473,5342
156,05-06-2011,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,22.471651,24.709064,65.25,9.292364,1685,3221,4906
157,06-06-2011,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,23.881651,25.042628,60,8.167032,673,3875,4548
158,07-06-2011,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,25.2525,27.2927,59.7917,12.583136,763,4070,4833
159,08-06-2011,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,28.464151,32.000414,62.2083,9.166739,676,3725,4401
160,09-06-2011,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,29.991651,34.000214,56.8333,10.042161,563,3352,3915
161,10-06-2011,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,27.485,30.417272,60.5,9.417118,815,3771,4586
162,11-06-2011,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,26.075,28.750508,65.4583,10.37495,1729,3237,4966
163,12-06-2011,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,24.5475,26.45945,74.7917,10.958989,1467,2993,4460
164,13-06-2011,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,21.845,23.709164,49.4583,20.45845,863,4157,5020
165,14-06-2011,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,20.395849,23.042036,50.7083,18.041961,727,4164,4891
166,15-06-2011,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,21.453349,22.791764,47.1667,11.250104,769,4411,5180
167,16-06-2011,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,21.531651,23.292836,68.8333,13.833557,545,3222,3767
168,17-06-2011,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,22.510849,23.625278,73.5833,9.582943,863,3981,4844
169,18-06-2011,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,24.743349,26.500964,67.0417,8.000336,1807,3312,5119
170,19-06-2011,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,24.860849,26.625836,66.6667,6.834,1639,3105,4744
171,20-06-2011,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,21.845,23.292836,74.625,10.416825,699,3311,4010
172,21-06-2011,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,23.999151,26.084636,77.0417,11.458675,774,4061,4835
173,22-06-2011,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,26.466651,29.792714,70.75,11.541554,661,3846,4507
174,23-06-2011,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,26.231651,29.792978,70.3333,15.999868,746,4044,4790
175,24-06-2011,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,26.035849,27.334478,57.3333,14.875675,969,4022,4991
176,25-06-2011,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,24.665,26.458658,48.3333,14.041257,1782,3420,5202
177,26-06-2011,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,23.96,26.083514,51.3333,6.3337311,1920,3385,5305
178,27-06-2011,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,24.0775,26.042264,65.8333,7.208396,854,3854,4708
179,28-06-2011,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,26.975849,29.708828,63.4167,9.666961,732,3916,4648
180,29-06-2011,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,26.231651,27.209408,49.7917,17.542007,848,4377,5225
181,30-06-2011,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,24.743349,26.042528,43.4167,12.415904,1027,4488,5515
182,01-07-2011,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,25.9575,27.042692,39.625,6.874736,1246,4116,5362
183,02-07-2011,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,26.701651,28.042328,44.4583,7.709154,2204,2915,5119
184,03-07-2011,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,25.683349,28.12595,68.25,15.333486,2282,2367,4649
185,04-07-2011,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,26.153349,27.917522,63.7917,5.4591064,3065,2978,6043
186,05-07-2011,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,27.093349,29.958308,59.0417,8.459286,1031,3634,4665
187,06-07-2011,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,25.84,29.251778,74.3333,10.042161,784,3845,4629
188,07-07-2011,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,27.25,29.333486,65.125,10.6664,754,3838,4592
189,08-07-2011,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,25.330849,28.251878,75.7917,15.083643,692,3348,4040
190,09-07-2011,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,26.466651,27.834428,60.9167,11.250104,1988,3348,5336
191,10-07-2011,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,27.1325,29.54165,57.8333,12.292557,1743,3138,4881
192,11-07-2011,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,27.8375,32.167064,63.5833,18.916579,723,3363,4086
193,12-07-2011,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,29.325849,32.79215,55.9167,13.417018,662,3596,4258
194,13-07-2011,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,27.093349,29.500664,63.1667,9.790911,748,3594,4342
195,14-07-2011,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,23.999151,25.916864,47.625,16.124689,888,4196,5084
196,15-07-2011,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,23.176651,25.208486,59.125,12.249811,1318,4220,5538
